fpVal, endTimeNanos, startTimeNanos, modifiedTimeMillis
90,1639090801000000000,1639090801000000000,1639435043260
71,1639090861000000000,1639090861000000000,1639435043260
70,1639090921000000000,1639090921000000000,1639435043260
73,1639090981000000000,1639090981000000000,1639435043260
70,1639091041000000000,1639091041000000000,1639435043260
66,1639091101000000000,1639091101000000000,1639435043260
72,1639091161000000000,1639091161000000000,1639435043260
74,1639091221000000000,1639091221000000000,1639435043260
73,1639091281000000000,1639091281000000000,1639435043260
73,1639091341000000000,1639091341000000000,1639435043260
77,1639091401000000000,1639091401000000000,1639435043260
79,1639091461000000000,1639091461000000000,1639435043260
77,1639091521000000000,1639091521000000000,1639435043260
79,1639091581000000000,1639091581000000000,1639435043260
74,1639091641000000000,1639091641000000000,1639435043260
87,1639091701000000000,1639091701000000000,1639435043260
100,1639091761000000000,1639091761000000000,1639435043260
97,1639091821000000000,1639091821000000000,1639435043260
96,1639091881000000000,1639091881000000000,1639435043260
97,1639091941000000000,1639091941000000000,1639435043260
98,1639092001000000000,1639092001000000000,1639435043260
85,1639092061000000000,1639092061000000000,1639435043260
87,1639092121000000000,1639092121000000000,1639435043260
91,1639092181000000000,1639092181000000000,1639435043260
88,1639092241000000000,1639092241000000000,1639435043260
89,1639092301000000000,1639092301000000000,1639435043260
79,1639092361000000000,1639092361000000000,1639435043260
65,1639092421000000000,1639092421000000000,1639435043260
80,1639092541000000000,1639092541000000000,1639435043260
71,1639092601000000000,1639092601000000000,1639435043260
71,1639092661000000000,1639092661000000000,1639435043260
68,1639092721000000000,1639092721000000000,1639435043260
67,1639092781000000000,1639092781000000000,1639435043260
69,1639092841000000000,1639092841000000000,1639435043260
71,1639092901000000000,1639092901000000000,1639435043260
69,1639092961000000000,1639092961000000000,1639435043260
69,1639093021000000000,1639093021000000000,1639435043260
69,1639093081000000000,1639093081000000000,1639435043260
68,1639093141000000000,1639093141000000000,1639435043260
70,1639093201000000000,1639093201000000000,1639435043260
72,1639093261000000000,1639093261000000000,1639435043260
70,1639093321000000000,1639093321000000000,1639435043260
74,1639093381000000000,1639093381000000000,1639435043260
70,1639093441000000000,1639093441000000000,1639435043260
68,1639093501000000000,1639093501000000000,1639435043260
71,1639093561000000000,1639093561000000000,1639435043260
69,1639093621000000000,1639093621000000000,1639435043260
71,1639093681000000000,1639093681000000000,1639435043260
70,1639093741000000000,1639093741000000000,1639435043260
72,1639093801000000000,1639093801000000000,1639435043260
70,1639093861000000000,1639093861000000000,1639435043260
70,1639093921000000000,1639093921000000000,1639435043260
71,1639093981000000000,1639093981000000000,1639435043260
72,1639094041000000000,1639094041000000000,1639435043260
71,1639094101000000000,1639094101000000000,1639435043260
61,1639094161000000000,1639094161000000000,1639435043260
71,1639094221000000000,1639094221000000000,1639435043260
68,1639094281000000000,1639094281000000000,1639435043260
72,1639094341000000000,1639094341000000000,1639435043260
71,1639094401000000000,1639094401000000000,1639435043260
72,1639094461000000000,1639094461000000000,1639435043260
70,1639094521000000000,1639094521000000000,1639435043260
73,1639094581000000000,1639094581000000000,1639435043260
75,1639094641000000000,1639094641000000000,1639435043260
76,1639094701000000000,1639094701000000000,1639435043260
77,1639094761000000000,1639094761000000000,1639435043260
78,1639094821000000000,1639094821000000000,1639435043260
77,1639094881000000000,1639094881000000000,1639435043260
79,1639094941000000000,1639094941000000000,1639435043260
74,1639095001000000000,1639095001000000000,1639435043260
76,1639095061000000000,1639095061000000000,1639435043260
78,1639095121000000000,1639095121000000000,1639435043260
79,1639095181000000000,1639095181000000000,1639435043260
77,1639095241000000000,1639095241000000000,1639435043260
78,1639095301000000000,1639095301000000000,1639435043260
81,1639095361000000000,1639095361000000000,1639435043260
81,1639095421000000000,1639095421000000000,1639435043260
72,1639095481000000000,1639095481000000000,1639435043260
70,1639095541000000000,1639095541000000000,1639435043260
75,1639095601000000000,1639095601000000000,1639435043260
76,1639095661000000000,1639095661000000000,1639435043260
81,1639095721000000000,1639095721000000000,1639435043260
76,1639095781000000000,1639095781000000000,1639435043260
77,1639095841000000000,1639095841000000000,1639435043260
77,1639095901000000000,1639095901000000000,1639435043260
73,1639095961000000000,1639095961000000000,1639435043260
76,1639096021000000000,1639096021000000000,1639435043260
78,1639096081000000000,1639096081000000000,1639435043260
78,1639096141000000000,1639096141000000000,1639435043260
79,1639096201000000000,1639096201000000000,1639435043260
80,1639096261000000000,1639096261000000000,1639435043260
78,1639096321000000000,1639096321000000000,1639435043260
80,1639096381000000000,1639096381000000000,1639435043260
80,1639096441000000000,1639096441000000000,1639435043260
79,1639096501000000000,1639096501000000000,1639435043260
84,1639096561000000000,1639096561000000000,1639435043260
82,1639096621000000000,1639096621000000000,1639435043260
81,1639096681000000000,1639096681000000000,1639435043260
83,1639096741000000000,1639096741000000000,1639435043260
83,1639096801000000000,1639096801000000000,1639435043260
83,1639096861000000000,1639096861000000000,1639435043260
85,1639096921000000000,1639096921000000000,1639435043260
82,1639096981000000000,1639096981000000000,1639435043260
86,1639097041000000000,1639097041000000000,1639435043260
85,1639097101000000000,1639097101000000000,1639435043260
84,1639097161000000000,1639097161000000000,1639435043260
85,1639097221000000000,1639097221000000000,1639435043260
82,1639097281000000000,1639097281000000000,1639435043260
84,1639097341000000000,1639097341000000000,1639435043260
86,1639097401000000000,1639097401000000000,1639435043260
81,1639097461000000000,1639097461000000000,1639435043260
84,1639097521000000000,1639097521000000000,1639435043260
82,1639097581000000000,1639097581000000000,1639435043260
86,1639097641000000000,1639097641000000000,1639435043260
84,1639097701000000000,1639097701000000000,1639435043260
85,1639097761000000000,1639097761000000000,1639435043260
84,1639097821000000000,1639097821000000000,1639435043260
84,1639097881000000000,1639097881000000000,1639435043260
84,1639097941000000000,1639097941000000000,1639435043260
88,1639098001000000000,1639098001000000000,1639435043260
87,1639098061000000000,1639098061000000000,1639435043260
92,1639098121000000000,1639098121000000000,1639435043260
91,1639098181000000000,1639098181000000000,1639435043260
88,1639098241000000000,1639098241000000000,1639435043260
92,1639098301000000000,1639098301000000000,1639435043260
86,1639098361000000000,1639098361000000000,1639435043260
85,1639098421000000000,1639098421000000000,1639435043260
91,1639098481000000000,1639098481000000000,1639435043260
88,1639098541000000000,1639098541000000000,1639435043260
85,1639098601000000000,1639098601000000000,1639435043260
84,1639098661000000000,1639098661000000000,1639435043260
87,1639098721000000000,1639098721000000000,1639435043260
89,1639098781000000000,1639098781000000000,1639435043260
82,1639098841000000000,1639098841000000000,1639435043260
86,1639098901000000000,1639098901000000000,1639435043260
84,1639098961000000000,1639098961000000000,1639435043260
87,1639099021000000000,1639099021000000000,1639435043260
89,1639099081000000000,1639099081000000000,1639435043260
79,1639099141000000000,1639099141000000000,1639435043260
84,1639099201000000000,1639099201000000000,1639435043260
86,1639099261000000000,1639099261000000000,1639435043260
82,1639099321000000000,1639099321000000000,1639435043260
82,1639099381000000000,1639099381000000000,1639435043260
85,1639099441000000000,1639099441000000000,1639435043260
82,1639099501000000000,1639099501000000000,1639435043260
86,1639099561000000000,1639099561000000000,1639435043260
85,1639099621000000000,1639099621000000000,1639435043260
87,1639099681000000000,1639099681000000000,1639435043260
85,1639099741000000000,1639099741000000000,1639435043260
86,1639099801000000000,1639099801000000000,1639435043260
86,1639099861000000000,1639099861000000000,1639435043260
81,1639099921000000000,1639099921000000000,1639435043260
85,1639099981000000000,1639099981000000000,1639435043260
83,1639100041000000000,1639100041000000000,1639435043260
88,1639100101000000000,1639100101000000000,1639435043260
83,1639100161000000000,1639100161000000000,1639435043260
85,1639100221000000000,1639100221000000000,1639435043260
81,1639100281000000000,1639100281000000000,1639435043260
83,1639100341000000000,1639100341000000000,1639435043260
85,1639100401000000000,1639100401000000000,1639435043260
85,1639100461000000000,1639100461000000000,1639435043260
85,1639100521000000000,1639100521000000000,1639435043260
86,1639100581000000000,1639100581000000000,1639435043260
83,1639100641000000000,1639100641000000000,1639435043260
85,1639100701000000000,1639100701000000000,1639435043260
84,1639100761000000000,1639100761000000000,1639435043260
83,1639100821000000000,1639100821000000000,1639435043260
80,1639100881000000000,1639100881000000000,1639435043260
87,1639100941000000000,1639100941000000000,1639435043260
84,1639101001000000000,1639101001000000000,1639435043260
84,1639101061000000000,1639101061000000000,1639435043260
86,1639101121000000000,1639101121000000000,1639435043260
84,1639101181000000000,1639101181000000000,1639435043260
84,1639101241000000000,1639101241000000000,1639435043260
82,1639101301000000000,1639101301000000000,1639435043260
88,1639101361000000000,1639101361000000000,1639435043260
87,1639101421000000000,1639101421000000000,1639435043260
84,1639101481000000000,1639101481000000000,1639435043260
80,1639101541000000000,1639101541000000000,1639435043260
85,1639101601000000000,1639101601000000000,1639435043260
81,1639101661000000000,1639101661000000000,1639435043260
82,1639101721000000000,1639101721000000000,1639435043260
80,1639101781000000000,1639101781000000000,1639435043260
85,1639101841000000000,1639101841000000000,1639435043260
80,1639101901000000000,1639101901000000000,1639435043260
81,1639101961000000000,1639101961000000000,1639435043260
84,1639102021000000000,1639102021000000000,1639435043260
84,1639102081000000000,1639102081000000000,1639435043260
79,1639102141000000000,1639102141000000000,1639435043260
77,1639102201000000000,1639102201000000000,1639435043260
78,1639102261000000000,1639102261000000000,1639435043260
74,1639102321000000000,1639102321000000000,1639435043260
80,1639102381000000000,1639102381000000000,1639435043260
77,1639102441000000000,1639102441000000000,1639435043260
80,1639102501000000000,1639102501000000000,1639435043260
81,1639102561000000000,1639102561000000000,1639435043260
78,1639102621000000000,1639102621000000000,1639435043260
81,1639102681000000000,1639102681000000000,1639435043260
78,1639102741000000000,1639102741000000000,1639435043260
78,1639102801000000000,1639102801000000000,1639435043260
77,1639102861000000000,1639102861000000000,1639435043260
71,1639102921000000000,1639102921000000000,1639435043260
74,1639102981000000000,1639102981000000000,1639435043260
79,1639103041000000000,1639103041000000000,1639435043260
77,1639103101000000000,1639103101000000000,1639435043260
82,1639103161000000000,1639103161000000000,1639435043260
81,1639103221000000000,1639103221000000000,1639435043260
81,1639103281000000000,1639103281000000000,1639435043260
79,1639103341000000000,1639103341000000000,1639435043260
78,1639103401000000000,1639103401000000000,1639435043260
81,1639103461000000000,1639103461000000000,1639435043260
85,1639103521000000000,1639103521000000000,1639435043260
79,1639103581000000000,1639103581000000000,1639435043260
81,1639103641000000000,1639103641000000000,1639435043260
87,1639103701000000000,1639103701000000000,1639435043260
84,1639103761000000000,1639103761000000000,1639435043260
87,1639103821000000000,1639103821000000000,1639435043260
83,1639103881000000000,1639103881000000000,1639435043260
83,1639103941000000000,1639103941000000000,1639435043260
79,1639104001000000000,1639104001000000000,1639435043260
83,1639104061000000000,1639104061000000000,1639435043260
83,1639104121000000000,1639104121000000000,1639435043260
86,1639104181000000000,1639104181000000000,1639435043260
87,1639104241000000000,1639104241000000000,1639435043260
85,1639104301000000000,1639104301000000000,1639435043260
82,1639104361000000000,1639104361000000000,1639435043260
86,1639104421000000000,1639104421000000000,1639435043260
84,1639104481000000000,1639104481000000000,1639435043260
80,1639104541000000000,1639104541000000000,1639435043260
82,1639104601000000000,1639104601000000000,1639435043260
81,1639104661000000000,1639104661000000000,1639435043260
81,1639104721000000000,1639104721000000000,1639435043260
82,1639104781000000000,1639104781000000000,1639435043260
74,1639104841000000000,1639104841000000000,1639435043260
82,1639104901000000000,1639104901000000000,1639435043260
82,1639104961000000000,1639104961000000000,1639435043260
82,1639105021000000000,1639105021000000000,1639435043260
86,1639105081000000000,1639105081000000000,1639435043260
85,1639105141000000000,1639105141000000000,1639435043260
82,1639105201000000000,1639105201000000000,1639435043260
81,1639105261000000000,1639105261000000000,1639435043260
80,1639105321000000000,1639105321000000000,1639435043260
79,1639105381000000000,1639105381000000000,1639435043260
82,1639105441000000000,1639105441000000000,1639435043260
76,1639105501000000000,1639105501000000000,1639435043260
82,1639105561000000000,1639105561000000000,1639435043260
87,1639105621000000000,1639105621000000000,1639435043260
84,1639105681000000000,1639105681000000000,1639435043260
83,1639105741000000000,1639105741000000000,1639435043260
79,1639105801000000000,1639105801000000000,1639435043260
85,1639105861000000000,1639105861000000000,1639435043260
83,1639105921000000000,1639105921000000000,1639435043260
77,1639105981000000000,1639105981000000000,1639435043260
82,1639106041000000000,1639106041000000000,1639435043260
81,1639106101000000000,1639106101000000000,1639435043260
78,1639106161000000000,1639106161000000000,1639435043260
80,1639106221000000000,1639106221000000000,1639435043260
79,1639106281000000000,1639106281000000000,1639435043260
84,1639106341000000000,1639106341000000000,1639435043260
82,1639106401000000000,1639106401000000000,1639435043260
81,1639106461000000000,1639106461000000000,1639435043260
77,1639106521000000000,1639106521000000000,1639435043260
84,1639106581000000000,1639106581000000000,1639435043260
82,1639106641000000000,1639106641000000000,1639435043260
82,1639106701000000000,1639106701000000000,1639435043260
82,1639106761000000000,1639106761000000000,1639435043260
80,1639106821000000000,1639106821000000000,1639435043260
79,1639106881000000000,1639106881000000000,1639435043260
77,1639106941000000000,1639106941000000000,1639435043260
78,1639107001000000000,1639107001000000000,1639435043260
78,1639107061000000000,1639107061000000000,1639435043260
78,1639107121000000000,1639107121000000000,1639435043260
77,1639107181000000000,1639107181000000000,1639435043260
79,1639107241000000000,1639107241000000000,1639435043260
80,1639107301000000000,1639107301000000000,1639435043260
79,1639107361000000000,1639107361000000000,1639435043260
78,1639107421000000000,1639107421000000000,1639435043260
77,1639107481000000000,1639107481000000000,1639435043260
79,1639107541000000000,1639107541000000000,1639435043260
80,1639107601000000000,1639107601000000000,1639435043260
78,1639107661000000000,1639107661000000000,1639435043260
78,1639107721000000000,1639107721000000000,1639435043260
78,1639107781000000000,1639107781000000000,1639435043260
78,1639107841000000000,1639107841000000000,1639435043260
78,1639107901000000000,1639107901000000000,1639435043260
77,1639107961000000000,1639107961000000000,1639435043260
78,1639108021000000000,1639108021000000000,1639435043260
79,1639108081000000000,1639108081000000000,1639435043260
78,1639108141000000000,1639108141000000000,1639435043260
77,1639108201000000000,1639108201000000000,1639435043260
75,1639108261000000000,1639108261000000000,1639435043260
77,1639108321000000000,1639108321000000000,1639435043260
73,1639108381000000000,1639108381000000000,1639435043260
74,1639108441000000000,1639108441000000000,1639435043260
74,1639108501000000000,1639108501000000000,1639435043260
76,1639108561000000000,1639108561000000000,1639435043260
75,1639108621000000000,1639108621000000000,1639435043260
73,1639108681000000000,1639108681000000000,1639435043260
71,1639108741000000000,1639108741000000000,1639435043260
72,1639108801000000000,1639108801000000000,1639435043260
